#[domain] [type] [ip] [port] [ttl]
michael.bit A  192.168.176.250 80 14400
brooke.bit A  192.168.19.204 80 14400
peter.bit A  192.168.153.197 80 14400
zachary.bit A  192.168.182.248 80 14400
david.bit A  192.168.249.180 80 14400
thomas.bit A  192.168.16.16 80 14400
curtis.bit A  192.168.88.116 80 14400
dana.bit A  192.168.214.77 80 14400
tara.bit A  192.168.94.164 80 14400
samantha.bit A  192.168.222.19 80 14400
samantha.bit A  192.168.222.19 80 14400
samantha.bit A  192.168.222.20 80 14400
samantha.bit A  192.168.222.19 81 14400
samantha.bit A  192.168.222.19 80 14401
samantha.bit A  192.168.222.20 80 14400



